年份,博士在校学生数,哲学博士在校学生数,经济学博士在校学生数,法学博士在校学生数,教育学博士在校学生数,文学博士在校学生数,历史学博士在校学生数,理学博士在校学生数,工学博士在校学生数,农学博士在校学生数,医学博士在校学生数,军事学博士在校学生数,管理学博士在校学生数,普通高校博士在校学生数,普通高校哲学博士在校学生数,普通高校经济学博士在校学生数,普通高校法学博士在校学生数,普通高校教育学博士在校学生数,普通高校文学博士在校学生数,普通高校历史学博士在校学生数,普通高校理学博士在校学生数,普通高校工学博士在校学生数,普通高校农学博士在校学生数,普通高校医学博士在校学生数,普通高校军事学博士在校学生数,普通高校管理学博士在校学生数,科研机构博士在校学生数,科研机构哲学博士在校学生数,科研机构经济学博士在校学生数,科研机构法学博士在校学生数,科研机构教育学博士在校学生数,科研机构文学博士在校学生数,科研机构历史学博士在校学生数,科研机构理学博士在校学生数,科研机构工学博士在校学生数,科研机构农学博士在校学生数,科研机构医学博士在校学生数,科研机构军事学博士在校学生数,科研机构管理学博士在校学生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46.6549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,42.4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,38.9518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,36.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,34.2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,32.6687,0.399,1.3351,1.7164,0.6256,1.1045,0.4548,5.9653,13.493,1.3536,3.4715,0.0165,2.4693,31.9318,0.3797,1.2412,1.6406,0.6256,1.0891,0.4425,5.8817,13.2444,1.2731,3.4214,0.0165,2.4309,0.7369,0.0193,0.0939,0.0758,,0.0154,0.0123,0.0836,0.2486,0.0805,0.0501,,0.0384
2014,31.2676,0.3952,1.3009,1.6076,0.587,1.0614,0.4451,5.6412,12.9161,1.3013,3.3474,0.0164,2.3976,30.5833,0.3788,1.212,1.5481,0.587,1.0476,0.4346,5.5643,12.6799,1.2189,3.3001,0.0164,2.3642,0.6843,0.0164,0.0889,0.0595,,0.0138,0.0105,0.0769,0.2362,0.0824,0.0473,,0.0334
2013,29.8283,0.379,1.2612,1.5416,0.5455,1.0258,0.41,5.2683,12.2475,1.257,3.2422,0.0178,2.3982,28.1959,0.365,1.174,1.4912,0.5455,1.0118,0.4033,4.5999,11.6804,1.1606,3.1615,0.0178,2.3694,1.6324,0.014,0.0872,0.0504,,0.014,0.0067,0.6684,0.5671,0.0964,0.0807,,0.0288
2012,28.381,0.3612,1.2507,1.4858,0.5081,0.9931,0.4042,4.9218,11.6219,1.2005,3.0601,0.0156,2.3443,26.8801,0.3477,1.168,1.4362,0.5081,0.9796,0.398,4.2969,11.1285,1.1059,2.9827,0.0156,2.3177,1.5009,0.0135,0.0827,0.0496,,0.0135,0.0062,0.6249,0.4934,0.0946,0.0774,,0.0266
2011,27.1261,0.3535,1.194,1.4065,0.4739,1.1407,0.3993,4.6609,11.1267,1.1723,2.8632,0.0206,2.3145,24.8027,0.3356,1.1098,1.3595,0.4611,1.1115,0.3922,3.547,10.3418,1.0826,2.7887,0.0206,2.2523,2.3234,0.0179,0.0842,0.047,0.0128,0.0292,0.0071,1.1139,0.7849,0.0897,0.0745,,0.0622
2010,25.895,0.3532,1.1768,1.3152,0.4256,1.0758,0.3913,4.4108,10.6458,1.0739,2.3262,0.0146,2.264,23.6328,0.3295,1.0968,1.2718,0.4126,1.0481,0.3833,3.3284,9.8682,0.995,2.255,0.0146,2.2084,2.2622,0.0237,0.08,0.0434,0.013,0.0277,0.008,1.0824,0.7776,0.0789,0.0712,,0.0556
2009,24.6319,0.3414,1.1415,1.2116,0.3991,1.0121,0.382,4.1952,10.182,0.9673,2.2646,0.0151,2.2028,22.4119,0.3185,1.0664,1.1695,0.3864,0.9865,0.3742,3.1089,9.435,0.8917,2.1949,0.0151,2.1485,2.22,0.0229,0.0751,0.0421,0.0127,0.0256,0.0078,1.0863,0.747,0.0756,0.0697,,0.0543
2008,23.6617,0.3234,1.1285,1.1027,0.3775,0.9457,0.3733,4.0389,9.837,0.9021,2.4929,0.015,2.1247,21.4963,0.307,1.0655,1.0644,0.3665,0.9234,0.3663,2.951,9.1105,0.8265,2.4243,0.015,2.0759,2.1654,0.0164,0.063,0.0383,0.011,0.0223,0.007,1.0879,0.7265,0.0756,0.0686,,0.0488
2007,22.2508,0.2982,1.1065,0.9575,0.3604,0.8816,0.3635,3.8489,9.2751,0.8493,2.2952,0.0132,2.0014,20.1129,0.2804,1.0386,0.9219,0.349,0.8601,0.3573,2.7672,8.5646,0.7774,2.2269,0.0132,1.9563,2.1379,0.0178,0.0679,0.0356,0.0114,0.0215,0.0062,1.0817,0.7105,0.0719,0.0683,,0.0451
2006,20.8038,0.2752,1.0442,0.826,0.3442,0.8269,0.3518,3.5884,8.6833,0.7981,2.1548,0.0124,1.8985,18.8052,0.2622,0.9779,0.7906,0.3339,0.8066,0.3458,2.5505,8.0502,0.7302,2.0892,0.0124,1.8557,1.9986,0.013,0.0663,0.0354,0.0103,0.0203,0.006,1.0379,0.6331,0.0679,0.0656,,0.0428
2005,19.1317,0.2395,0.9695,0.752,0.3029,0.7543,0.318,3.3059,7.9714,0.7386,2.0236,0.0122,1.7438,17.2052,0.2274,0.9033,0.7169,0.294,0.7361,0.3109,2.3158,7.3377,0.6777,1.9671,0.0122,1.7061,1.9265,0.0121,0.0662,0.0351,0.0089,0.0182,0.0071,0.9901,0.6337,0.0609,0.0565,,0.0377
2004,16.561,0.2143,0.8564,0.6515,0.251,0.6434,0.2771,2.8769,6.9315,0.6112,1.7771,0.0109,1.4597,14.8561,0.2036,0.7922,0.6166,0.2433,0.6279,0.2714,1.9921,6.3768,0.5617,1.7302,0.0109,1.4294,1.7049,0.0107,0.0642,0.0349,0.0077,0.0155,0.0057,0.8848,0.5547,0.0495,0.0469,,0.0303
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
