年份,研究生在校学生数,哲学研究生在校学生数,经济学研究生在校学生数,法学研究生在校学生数,教育学研究生在校学生数,文学研究生在校学生数,历史学研究生在校学生数,理学研究生在校学生数,工学研究生在校学生数,农学研究生在校学生数,医学研究生在校学生数,军事学研究生在校学生数,管理学研究生在校学生数,普通高校研究生在校学生数,普通高校哲学研究生在校学生数,普通高校经济学研究生在校学生数,普通高校法学研究生在校学生数,普通高校教育学研究生在校学生数,普通高校文学研究生在校学生数,普通高校历史学研究生在校学生数,普通高校理学研究生在校学生数,普通高校工学研究生在校学生数,普通高校农学研究生在校学生数,普通高校医学研究生在校学生数,普通高校军事学研究生在校学生数,普通高校管理学研究生在校学生数,科研机构研究生在校学生数,科研机构哲学研究生在校学生数,科研机构经济学研究生在校学生数,科研机构法学研究生在校学生数,科研机构教育学研究生在校学生数,科研机构文学研究生在校学生数,科研机构历史学研究生在校学生数,科研机构理学研究生在校学生数,科研机构工学研究生在校学生数,科研机构农学研究生在校学生数,科研机构医学研究生在校学生数,科研机构军事学研究生在校学生数,科研机构管理学研究生在校学生数
2021,333.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,313.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,286.3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,273.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,263.9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,198.1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,191.1406,1.4323,8.1127,12.5335,9.2249,9.3612,1.861,19.6859,68.9597,6.8212,21.5232,0.0688,25.6919,188.5789,1.3857,7.8904,12.2443,9.2249,9.3297,1.8209,19.4602,68.0293,6.5539,21.3177,0.0687,25.4435,2.5617,0.0466,0.2223,0.2892,,0.0315,0.0401,0.2257,0.9304,0.2673,0.2055,0.0001,0.2484
2014,184.7689,1.4604,7.8909,12.2541,8.8615,9.2627,1.7999,18.983,66.9703,6.6068,20.4148,0.0717,24.6846,182.2821,1.4166,7.6788,11.984,8.8615,9.2321,1.7623,18.772,66.0448,6.3385,20.2124,0.0715,24.4537,2.4868,0.0438,0.2121,0.2701,,0.0306,0.0376,0.211,0.9255,0.2683,0.2024,0.0002,0.2309
2013,179.3953,1.4669,7.7548,12.1414,8.5246,9.3482,1.7805,18.3997,64.8218,6.3778,19.6621,0.0888,23.8834,174.9864,1.4266,7.5437,11.8904,8.5246,9.3157,1.7491,17.131,63.0803,6.0758,19.3878,0.0876,23.6827,4.4089,0.0403,0.2111,0.251,,0.0325,0.0314,1.2687,1.7415,0.302,0.2743,0.0012,0.2007
2012,171.9818,1.5082,7.35,12.1217,7.7763,9.3429,1.7735,18.033,61.6173,5.8893,18.8666,0.0831,22.703,167.8607,1.469,7.1673,11.8796,7.7763,9.3098,1.7461,16.8021,60.0147,5.5985,18.6033,0.0828,22.5482,4.1211,0.0392,0.1827,0.2421,,0.0331,0.0274,1.2309,1.6026,0.2908,0.2633,0.0003,0.1548
2011,164.5845,1.5482,6.7503,12.176,7.1423,13.6101,1.8229,18.1072,58.7587,5.6119,18.1129,0.0854,20.8586,158.8462,1.5019,6.5659,11.9286,7.1179,13.5225,1.7981,16.0049,56.4892,5.3402,17.8601,0.0851,20.6318,5.7383,0.0463,0.1844,0.2474,0.0244,0.0876,0.0248,2.1023,2.2695,0.2717,0.2528,0.0003,0.2268
2010,153.8416,1.6001,6.266,9.0168,4.8468,12.084,1.789,17.757,49.0374,4.5273,12.8916,0.0762,11.783,148.268,1.5432,6.0904,8.8479,4.8207,12.0001,1.7632,15.6602,46.9692,4.3033,12.665,0.0758,11.6051,5.5736,0.0569,0.1756,0.1689,0.0261,0.0839,0.0258,2.0968,2.0682,0.224,0.2266,0.0004,0.1779
2009,140.4942,1.5911,6.1692,8.7389,4.7368,11.4445,1.7447,16.8908,47.417,4.5325,12.8205,0.0763,11.4994,135.1404,1.5324,5.9989,8.5843,4.7105,11.3646,1.72,14.8023,45.3571,4.3124,12.5967,0.0758,11.3278,5.3538,0.0587,0.1703,0.1546,0.0263,0.0799,0.0247,2.0885,2.0599,0.2201,0.2238,0.0005,0.1716
2008,128.3046,1.5321,5.9282,9.1324,4.4385,10.4445,1.6739,15.7404,46.1951,4.4914,14.003,0.0733,14.6518,123.0945,1.4826,5.7672,8.9798,4.4135,10.3704,1.6495,13.6696,44.1458,4.2735,13.7733,0.0726,14.4967,5.2101,0.0495,0.161,0.1526,0.025,0.0741,0.0244,2.0708,2.0493,0.2179,0.2297,0.0007,0.1551
2007,119.5047,1.4708,5.6738,8.0311,4.098,9.3935,1.6389,14.6146,43.6352,4.5285,12.8471,0.0704,13.5028,114.3637,1.4231,5.5156,7.8892,4.0753,9.3215,1.6156,12.5543,41.6387,4.3269,12.5881,0.0696,13.3458,5.141,0.0477,0.1582,0.1419,0.0227,0.072,0.0233,2.0603,1.9965,0.2016,0.259,0.0008,0.157
2006,110.4653,1.3221,5.4162,7.1724,3.6702,8.3738,1.563,13.4729,41.2273,4.1442,11.5901,0.0629,12.4502,105.6283,1.2771,5.26,7.0236,3.6514,8.3064,1.5389,11.4941,39.4159,3.9638,11.3373,0.0622,12.2976,4.837,0.045,0.1562,0.1488,0.0188,0.0674,0.0241,1.9788,1.8114,0.1804,0.2528,0.0007,0.1526
2005,97.861,1.1632,4.9752,6.5272,2.9855,7.3,1.379,12.051,36.9738,3.6061,10.0343,0.0546,10.8111,93.2711,1.1216,4.8229,6.3882,2.9694,7.2409,1.3559,10.1855,35.1921,3.4548,9.8096,0.054,10.6762,4.5899,0.0416,0.1523,0.139,0.0161,0.0591,0.0231,1.8655,1.7817,0.1513,0.2247,0.0006,0.1349
2004,81.9896,0.9666,4.2425,5.5575,2.2812,5.7589,1.1319,10.2381,31.8063,2.893,8.1859,0.0427,8.885,77.9408,0.9327,4.0983,5.4299,2.2664,5.7105,1.1121,8.5643,30.2296,2.7772,7.9932,0.0421,8.7845,4.0488,0.0339,0.1442,0.1276,0.0148,0.0484,0.0198,1.6738,1.5767,0.1158,0.1927,0.0006,0.1005
2003,65.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,50.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,39.3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,30.1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
